stock_symbol,company_id,date,revenues,revenue_growth,cost_of_revenue,gross_profit,research_and_development_expense,selling_general_and_administrative_expense,operating_expenses,operating_income,interest_expense,earnings_before_tax,income_tax_expense,net_income_to_noncontrolling_interests,net_income_from_discontinued_operations,net_income,preferred_dividends_income_statement_impact,net_income_common_stock,earnings_per_basic_share,earnings_per_diluted_share,weighted_average_shares,weighted_average_shares_diluted,dividends_per_basic_common_share,gross_margin,ebitda_margin,ebit_margin,profit_margin,free_cash_flow_margin,ebitda,ebit,consolidated_income
AMZN,Amazon,3/31/17,35714000000,0.2261,22440000000,13274000000,4813000000,2715000000,12269000000,1005000000,139000000,953000000,229000000,0,0,724000000,0,724000000,1.52,1.48,477000000,490000000,0,0.3717,0.099,0.0306,0.02,-0.0966,3527000000,1092000000,724000000
AMZN,Amazon,12/31/16,43741000000,0.2236,28959000000,14782000000,4544000000,3230000000,13527000000,1255000000,133000000,1162000000,413000000,0,0,749000000,0,749000000,1.58,1.54,477000000,487000000,0,0.3379,0.082,0.0296,0.017,0.1977,3592000000,1295000000,749000000
AMZN,Amazon,9/30/16,32714000000,0.2901,21260000000,11454000000,4135000000,2377000000,10879000000,575000000,118000000,481000000,229000000,0,0,252000000,0,252000000,0.53,0.52,474000000,485000000,0,0.3501,0.082,0.0183,0.008,0.0809,2683000000,599000000,252000000
AMZN,Amazon,6/30/16,30404000000,0.3114,19180000000,11224000000,3880000000,2126000000,9939000000,1285000000,116000000,1164000000,307000000,0,0,857000000,0,857000000,1.81,1.78,473000000,483000000,0,0.3692,0.105,0.0421,0.028,0.0577,3189000000,1280000000,857000000
AMZN,Amazon,3/31/16,29128000000,0.2822,18866000000,10262000000,3526000000,1933000000,9191000000,1071000000,117000000,988000000,475000000,0,0,513000000,0,513000000,1.09,1.07,471000000,481000000,0,0.3523,0.101,0.0379,0.018,-0.1075,2932000000,1105000000,513000000
AMZN,Amazon,12/31/15,35747000000,0.2188,24341000000,11406000000,3569000000,2148000000,10297000000,1109000000,115000000,934000000,452000000,0,0,482000000,0,482000000,1.04,1.01,467000000,480000000,0,0.3191,0.078,0.0293,0.013,0.2099,2801000000,1049000000,482000000
AMZN,Amazon,9/30/15,25358000000,0.2322,16755000000,8603000000,3197000000,1727000000,8197000000,406000000,116000000,240000000,161000000,0,0,79000000,0,79000000,0.17,0.17,468000000,478000000,0,0.3393,0.077,0.014,0.003,0.0558,1955000000,356000000,79000000
AMZN,Amazon,6/30/15,23185000000,0.1988,15160000000,8025000000,3020000000,1617000000,7561000000,464000000,114000000,358000000,266000000,0,0,92000000,0,92000000,0.2,0.19,467000000,476000000,0,0.3461,0.085,0.0204,0.004,0.0338,1976000000,472000000,92000000
AMZN,Amazon,3/31/15,22717000000,0.1508,15395000000,7322000000,2754000000,1510000000,7067000000,255000000,115000000,14000000,71000000,0,0,-57000000,0,-57000000,-0.12,-0.12,465000000,465000000,0,0.3223,0.068,0.0057,-0.003,-0.1043,1555000000,129000000,-57000000
AMZN,Amazon,12/31/14,29329000000,0.1462,20672000000,8657000000,2636000000,1968000000,8067000000,590000000,74000000,419000000,205000000,0,0,214000000,0,214000000,0.47,0.47,465000000,465000000,0,0.2952,0.064,0.0168,0.007,0.1899,1873000000,493000000,214000000
AMZN,Amazon,9/30/14,20579000000,0.204,14627000000,5952000000,2423000000,1399000000,6496000000,-544000000,49000000,-642000000,-205000000,0,0,-437000000,0,-437000000,-0.95,-0.95,463000000,463000000,0,0.2892,0.032,-0.0288,-0.021,0.0189,654000000,-593000000,-437000000
AMZN,Amazon,6/30/14,19340000000,0.2315,13399000000,5941000000,2226000000,1320000000,5956000000,-15000000,45000000,-32000000,94000000,0,0,-126000000,0,-126000000,-0.27,-0.27,461000000,461000000,0,0.3072,0.058,0.0007,-0.007,-0.0221,1122000000,13000000,-126000000
AMZN,Amazon,3/31/14,19741000000,0.2284,14055000000,5686000000,1991000000,1197000000,5540000000,146000000,42000000,181000000,73000000,0,0,108000000,0,108000000,0.23,0.23,460000000,468000000,0,0.288,0.062,0.0113,0.005,-0.1814,1233000000,223000000,108000000
AMZN,Amazon,12/31/13,25587000000,0.2031,18806000000,6781000000,1862000000,1451000000,6271000000,510000000,39000000,419000000,179000000,0,0,240000000,0,240000000,0.52,0.52,460000000,468000000,0,0.265,0.055,0.0179,0.009,0.1836,1420000000,458000000,240000000
AMZN,Amazon,9/30/13,17092000000,0.238,12366000000,4726000000,1734000000,972000000,4751000000,-25000000,36000000,-53000000,-12000000,0,0,-41000000,0,-41000000,-0.09,-0.09,457000000,457000000,0,0.2765,0.048,-0.001,-0.002,0.0205,817000000,-17000000,-41000000
AMZN,Amazon,6/30/13,15704000000,0.2236,11209000000,4495000000,1586000000,961000000,4416000000,79000000,33000000,6000000,13000000,0,0,-7000000,0,-7000000,-0.02,-0.02,456000000,456000000,0,0.2862,0.051,0.0025,0,0.0016,795000000,39000000,-7000000
AMZN,Amazon,3/31/13,16070000000,0.2188,11801000000,4269000000,1383000000,878000000,4088000000,181000000,33000000,64000000,-18000000,0,0,82000000,0,82000000,0.18,0.18,455000000,463000000,0,0.2657,0.05,0.006,0.005,-0.1893,797000000,97000000,82000000
AMZN,Amazon,12/31/12,21268000000,0.2201,16137000000,5131000000,1345000000,1085000000,4726000000,405000000,27000000,292000000,194000000,0,0,98000000,0,98000000,0.21,0.21,456000000,456000000,0,0.2413,0.046,0.015,0.005,0.1436,981000000,319000000,98000000
AMZN,Amazon,9/30/12,13806000000,0.2694,10319000000,3487000000,1192000000,770000000,3515000000,-28000000,22000000,-191000000,83000000,0,0,-274000000,0,-274000000,-0.6,-0.6,452000000,452000000,0,0.2526,0.028,-0.0122,-0.02,0.0164,385000000,-169000000,-274000000
AMZN,Amazon,6/30/12,12834000000,0.2947,9488000000,3346000000,1082000000,769000000,3239000000,107000000,21000000,116000000,109000000,0,0,7000000,0,7000000,0.02,0.01,451000000,458000000,0,0.2607,0.048,0.0107,0.001,-0.0049,622000000,137000000,7000000
AMZN,Amazon,3/31/12,13185000000,0.3376,10027000000,3158000000,945000000,680000000,2966000000,192000000,21000000,173000000,43000000,0,0,130000000,0,130000000,0.29,0.28,453000000,460000000,0,0.2395,0.049,0.0147,0.01,-0.2142,651000000,194000000,130000000
AMZN,Amazon,12/31/11,17431000000,0.3463,13831000000,3600000000,862000000,777000000,3340000000,260000000,20000000,263000000,86000000,0,0,177000000,0,177000000,0.39,0.38,453000000,464000000,0,0.2065,0.037,0.0162,0.01,0.2134,642000000,283000000,177000000
AMZN,Amazon,9/30/11,10876000000,0.4386,8325000000,2551000000,769000000,545000000,2472000000,79000000,17000000,130000000,67000000,0,0,63000000,0,63000000,0.14,0.14,454000000,461000000,0,0.2346,0.039,0.0135,0.006,0.0246,425000000,147000000,63000000
AMZN,Amazon,6/30/11,9913000000,0.5097,7525000000,2388000000,698000000,507000000,2187000000,201000000,15000000,240000000,49000000,0,0,191000000,0,191000000,0.42,0.41,453000000,460000000,0,0.2409,0.05,0.0257,0.019,-0.001,499000000,255000000,191000000
AMZN,Amazon,3/31/11,9857000000,0.3823,7608000000,2249000000,579000000,460000000,1927000000,322000000,12000000,290000000,89000000,0,0,201000000,0,201000000,0.44,0.44,451000000,459000000,0,0.2282,0.051,0.0306,0.02,-0.1911,504000000,302000000,201000000
AMZN,Amazon,12/31/10,12947000000,0.36,10317000000,2630000000,518000000,519000000,2156000000,474000000,11000000,501000000,85000000,0,0,416000000,0,416000000,0.93,0.91,447000000,459000000,0,0.2031,0.053,0.0395,0.032,0.2441,681000000,512000000,416000000
AMZN,Amazon,9/30/10,7560000000,0.3874,5786000000,1774000000,442000000,358000000,1506000000,268000000,11000000,310000000,79000000,0,0,231000000,0,231000000,0.51,0.51,448000000,456000000,0,0.2347,0.062,0.0425,0.031,0.0714,471000000,321000000,231000000
AMZN,Amazon,6/30/10,6566000000,0.4117,4957000000,1609000000,408000000,324000000,1339000000,270000000,9000000,295000000,88000000,0,0,207000000,0,207000000,0.46,0.45,447000000,455000000,0,0.2451,0.066,0.0463,0.032,0.0082,433000000,304000000,207000000
AMZN,Amazon,3/31/10,7131000000,0.4586,5501000000,1630000000,366000000,298000000,1236000000,394000000,7000000,399000000,100000000,0,0,299000000,0,299000000,0.67,0.66,445000000,454000000,0,0.2286,0.074,0.0569,0.042,-0.1736,525000000,406000000,299000000
AMZN,Amazon,12/31/09,9520000000,0.4203,7543000000,1977000000,350000000,374000000,1501000000,476000000,8000000,468000000,84000000,0,0,384000000,0,384000000,0.88,0.86,439000000,451000000,0,0.2077,0.062,0.05,0.04,0.2599,588000000,476000000,384000000
AMZN,Amazon,9/30/09,5449000000,0.2779,4176000000,1273000000,315000000,232000000,1022000000,251000000,7000000,259000000,60000000,0,0,199000000,0,199000000,0.46,0.45,432000000,441000000,0,0.2336,0.066,0.0488,0.037,0.1277,362000000,266000000,199000000
