stock_symbol,company_id,date,revenues,revenue_growth,cost_of_revenue,gross_profit,research_and_development_expense,selling_general_and_administrative_expense,operating_expenses,operating_income,interest_expense,earnings_before_tax,income_tax_expense,net_income_to_noncontrolling_interests,net_income_from_discontinued_operations,net_income,preferred_dividends_income_statement_impact,net_income_common_stock,earnings_per_basic_share,earnings_per_diluted_share,weighted_average_shares,weighted_average_shares_diluted,dividends_per_basic_common_share,gross_margin,ebitda_margin,ebit_margin,profit_margin,free_cash_flow_margin,ebitda,ebit,consolidated_income
AAPL,Apple,4/1/17,52896000000,0.0463,32305000000,20591000000,2776000000,3718000000,6494000000,14097000000,0,14684000000,3655000000,0,0,11029000000,0,11029000000,2.11,2.1,5225791000,5261688000,0.57,0.3893,0.322,0.2776,0.209,0.1805,17016000000,14684000000,11029000000
AAPL,Apple,12/31/16,78351000000,0.0327,48175000000,30176000000,2871000000,3946000000,6817000000,23359000000,0,24180000000,6289000000,0,0,17891000000,0,17891000000,3.38,3.36,5298661000,5327995000,0.57,0.3851,0.347,0.3086,0.228,0.3028,27167000000,24180000000,17891000000
AAPL,Apple,9/24/16,46852000000,-0.0903,29039000000,17813000000,2570000000,3482000000,6052000000,11761000000,0,12188000000,3174000000,0,0,9014000000,0,9014000000,1.69,1.69,5366912000,5393331000,0.57,0.3802,0.315,0.2601,0.192,0.2593,14736000000,12188000000,9014000000
AAPL,Apple,6/25/16,42358000000,-0.1461,26252000000,16106000000,2560000000,3441000000,6001000000,10105000000,0,10469000000,2673000000,0,0,7796000000,0,7796000000,1.43,1.42,5443058000,5472781000,0.57,0.3802,0.307,0.2472,0.184,0.1847,12995000000,10469000000,7796000000
AAPL,Apple,3/26/16,50557000000,-0.1285,30636000000,19921000000,2511000000,3423000000,5934000000,13987000000,0,14142000000,3626000000,0,0,10516000000,0,10516000000,1.91,1.9,5514381000,5540886000,0.52,0.394,0.329,0.2797,0.208,0.1833,16619000000,14142000000,10516000000
AAPL,Apple,12/26/15,75872000000,0.0171,45449000000,30423000000,2404000000,3848000000,6252000000,24171000000,0,24573000000,6212000000,0,0,18361000000,0,18361000000,3.3,3.28,5558930000,5594127000,0.52,0.401,0.363,0.3239,0.242,0.3144,27527000000,24573000000,18361000000
AAPL,Apple,9/26/15,51501000000,0.2226,30953000000,20548000000,2220000000,3705000000,5925000000,14623000000,0,15062000000,3938000000,0,0,11124000000,0,11124000000,1.98,1.97,5646918000,5682516000,0.52,0.399,0.353,0.2925,0.216,0.1914,18181000000,15062000000,11124000000
AAPL,Apple,6/27/15,49605000000,0.3252,29924000000,19681000000,2034000000,3564000000,5598000000,14083000000,0,14473000000,3796000000,0,0,10677000000,0,10677000000,1.86,1.85,5729886000,5773099000,0.52,0.3968,0.354,0.2918,0.215,0.261,17557000000,14473000000,10677000000
AAPL,Apple,3/28/15,58010000000,0.2709,34354000000,23656000000,1918000000,3460000000,5378000000,18278000000,0,18564000000,4995000000,0,0,13569000000,0,13569000000,2.34,2.33,5793799000,5834858000,0.47,0.4078,0.363,0.32,0.234,0.2881,21043000000,18564000000,13569000000
AAPL,Apple,12/27/14,74599000000,0.2953,44858000000,29741000000,1895000000,3600000000,5495000000,24246000000,0,24416000000,6392000000,0,0,18024000000,0,18024000000,3.08,3.06,5843082000,5881803000,0.47,0.3987,0.362,0.3273,0.242,0.4089,26991000000,24416000000,18024000000
AAPL,Apple,9/27/14,42123000000,0.1241,26114000000,16009000000,1686000000,3158000000,4844000000,11165000000,0,11472000000,3005000000,0,0,8467000000,0,8467000000,1.43,1.42,5933847000,5972081000,0.47,0.3801,0.319,0.2723,0.201,0.2237,13441000000,11472000000,8467000000
AAPL,Apple,6/28/14,37432000000,0.0597,22697000000,14735000000,1603000000,2850000000,4453000000,10282000000,0,10484000000,2736000000,0,0,7748000000,0,7748000000,1.29,1.28,6012635000,6051711000,0.47,0.3936,0.332,0.2801,0.207,0.2104,12430000000,10484000000,7748000000
AAPL,Apple,3/29/14,45646000000,0.0469,27699000000,17947000000,1422000000,2932000000,4354000000,13593000000,0,13818000000,3595000000,0,0,10223000000,0,10223000000,1.67,1.66,6123302000,6156699000,0.44,0.3932,0.344,0.3027,0.224,0.2663,15705000000,13818000000,10223000000
AAPL,Apple,12/28/13,57594000000,0.0565,35748000000,21846000000,1330000000,3053000000,4383000000,17463000000,0,17709000000,4637000000,0,0,13072000000,0,13072000000,2.08,2.07,6272504000,6310161000,0.44,0.3793,0.345,0.3075,0.227,0.3592,19853000000,17709000000,13072000000
AAPL,Apple,9/28/13,37472000000,0.0419,23601000000,13871000000,1168000000,2673000000,3841000000,10030000000,0,10143000000,2631000000,0,0,7512000000,0,7512000000,1.2,1.19,6329138000,6363921000,0.44,0.3702,0.318,0.2707,0.2,0.2122,11926000000,10143000000,7512000000
AAPL,Apple,6/29/13,35323000000,0.0086,22299000000,13024000000,1178000000,2645000000,3823000000,9201000000,0,9435000000,2535000000,0,0,6900000000,0,6900000000,1.07,1.07,6430323000,6469854000,0.44,0.3687,0.315,0.2671,0.195,0.1682,11129000000,9435000000,6900000000
AAPL,Apple,3/30/13,43603000000,0.1127,27254000000,16349000000,1119000000,2672000000,3791000000,12558000000,0,12905000000,3358000000,0,0,9547000000,0,9547000000,1.45,1.44,6577403000,6622245000,0.38,0.375,0.335,0.296,0.219,0.2407,14597000000,12905000000,9547000000
AAPL,Apple,12/29/12,54512000000,0.1765,33452000000,21060000000,1010000000,2840000000,3850000000,17210000000,0,17672000000,4594000000,0,0,13078000000,0,13078000000,1.99,1.97,6572412000,6630519000,0.38,0.3863,0.353,0.3242,0.24,0.3872,19260000000,17672000000,13078000000
AAPL,Apple,9/29/12,35966000000,0.2722,21565000000,14401000000,906000000,2551000000,3457000000,10944000000,0,10893000000,2670000000,0,0,8223000000,0,8223000000,1.25,1.24,6567792000,6636692000,0.38,0.4004,0.33,0.3029,0.229,0.1578,11874000000,10893000000,8223000000
AAPL,Apple,6/30/12,35023000000,0.2258,20029000000,14994000000,876000000,2545000000,3421000000,11573000000,0,11861000000,3037000000,0,0,8824000000,0,8824000000,1.35,1.33,6556172000,6629413000,0,0.4281,0.363,0.3387,0.252,0.2322,12696000000,11861000000,8824000000
AAPL,Apple,3/31/12,39186000000,0.5886,20622000000,18564000000,841000000,2339000000,3180000000,15384000000,0,15532000000,3910000000,0,0,11622000000,0,11622000000,1.78,1.76,6535074000,6614251000,0,0.4737,0.415,0.3964,0.297,0.3195,16272000000,15532000000,11622000000
AAPL,Apple,12/31/11,46333000000,0.7327,25630000000,20703000000,758000000,2605000000,3363000000,17340000000,0,17477000000,4413000000,0,0,13064000000,0,13064000000,2,1.98,6517287000,6591004000,0,0.4468,0.393,0.3772,0.282,0.3504,18198000000,17477000000,13064000000
AAPL,Apple,9/24/11,28270000000,0.3897,16890000000,11380000000,645000000,2025000000,2670000000,8710000000,0,8791000000,2168000000,0,0,6623000000,0,6623000000,1.02,1.01,6497967000,6576612000,0,0.4025,0.33,0.311,0.234,0.3107,9334000000,8791000000,6623000000
AAPL,Apple,6/25/11,28571000000,0.8198,16649000000,11922000000,628000000,1915000000,2543000000,9379000000,0,9551000000,2243000000,0,0,7308000000,0,7308000000,1.13,1.11,6482756000,6564670000,0,0.4173,0.351,0.3343,0.256,0.3616,10032000000,9551000000,7308000000
AAPL,Apple,3/26/11,24667000000,0.8273,14449000000,10218000000,581000000,1763000000,2344000000,7874000000,0,7900000000,1913000000,0,0,5987000000,0,5987000000,0.93,0.91,6462372000,6551608000,0,0.4142,0.338,0.3203,0.243,0.2268,8334000000,7900000000,5987000000
AAPL,Apple,12/25/10,26741000000,0.7051,16443000000,10298000000,575000000,1896000000,2471000000,7827000000,0,7963000000,1959000000,0,0,6004000000,0,6004000000,0.93,0.92,6435058000,6532078000,0,0.3851,0.311,0.2978,0.225,0.3201,8319000000,7963000000,6004000000
AAPL,Apple,9/25/10,20343000000,0.6665,12831000000,7512000000,494000000,1571000000,2065000000,5447000000,0,5461000000,1153000000,0,0,4308000000,0,4308000000,0.67,0.66,6401906000,6501775000,0,0.3693,0.285,0.2684,0.212,0.242,5790000000,5461000000,4308000000
