stock_symbol,company_id,date,revenues,revenue_growth,cost_of_revenue,gross_profit,research_and_development_expense,selling_general_and_administrative_expense,operating_expenses,operating_income,interest_expense,earnings_before_tax,income_tax_expense,net_income_to_noncontrolling_interests,net_income_from_discontinued_operations,net_income,preferred_dividends_income_statement_impact,net_income_common_stock,earnings_per_basic_share,earnings_per_diluted_share,weighted_average_shares,weighted_average_shares_diluted,dividends_per_basic_common_share,gross_margin,ebitda_margin,ebit_margin,profit_margin,free_cash_flow_margin,ebitda,ebit,consolidated_income
GOOGL,Google,3/31/17,24750000000,0.2218,9795000000,14955000000,3942000000,4445000000,8387000000,6568000000,0,6819000000,1393000000,0,0,5426000000,0,5426000000,7.85,7.73,691420327,680915000,0,0.6042,0.336,0.2755,0.219,0.2861,8322000000,6819000000,5426000000
GOOGL,Google,12/31/16,26064000000,0.222,10661000000,15403000000,3622000000,5142000000,8764000000,6639000000,0,6857000000,1524000000,0,0,5333000000,0,5333000000,7.73,7.59,689238589,678941000,0,0.591,0.328,0.2631,0.205,0.2436,8544000000,6857000000,5333000000
GOOGL,Google,9/30/16,22451000000,0.2022,8699000000,13752000000,3596000000,4389000000,7985000000,5767000000,0,6045000000,984000000,0,0,5061000000,0,5061000000,7.36,7.25,687273797,677097000,0,0.6125,0.34,0.2693,0.225,0.3335,7641000000,6045000000,5061000000
GOOGL,Google,6/30/16,21500000000,0.2128,8130000000,13370000000,3363000000,4039000000,7402000000,5968000000,0,6119000000,1242000000,0,0,4877000000,0,4877000000,7.11,7,686555233,675115000,0,0.6219,0.354,0.2846,0.227,0.3254,7609000000,6119000000,4877000000
GOOGL,Google,3/31/16,20257000000,0.1738,7648000000,12609000000,3367000000,3900000000,7267000000,5342000000,0,5129000000,922000000,0,0,4207000000,0,4207000000,6.12,6.02,688319767,672587000,0,0.6225,0.321,0.2532,0.208,0.2582,6500000000,5129000000,4207000000
GOOGL,Google,12/31/15,21329000000,0.1782,8188000000,13141000000,3510000000,4251000000,7761000000,5380000000,0,5200000000,277000000,0,0,4923000000,0,4923000000,7.16,7.07,687725164,669670000,0,0.6161,0.31,0.2438,0.231,0.2114,6604000000,5200000000,4923000000
GOOGL,Google,9/30/15,18675000000,0.1302,7037000000,11638000000,3230000000,3700000000,6930000000,4708000000,0,4891000000,912000000,0,0,3979000000,0,3979000000,5.8,5.73,685535249,667232000,0,0.6232,0.329,0.2619,0.213,0.202,6139000000,4891000000,3979000000
GOOGL,Google,6/30/15,17727000000,0.1111,6583000000,11144000000,2789000000,3530000000,6319000000,4825000000,0,4956000000,1025000000,0,0,3931000000,522000000,3409000000,4.99,4.93,682409365,664960000,0,0.6286,0.349,0.2796,0.192,0.2584,6190000000,4956000000,3931000000
GOOGL,Google,3/31/15,17258000000,0.1192,6356000000,10902000000,2753000000,3702000000,6455000000,4447000000,0,4604000000,1089000000,0,0,3515000000,0,3515000000,5.16,5.1,680915000,660908000,0,0.6317,0.335,0.2668,0.204,0.2199,5781000000,4604000000,3515000000
GOOGL,Google,12/31/14,18103000000,0.1525,6921000000,11182000000,2813000000,3970000000,6783000000,4399000000,0,5494000000,819000000,0,-967000000,4675000000,0,4675000000,6.89,6.79,678941000,658992000,0,0.6177,0.373,0.3035,0.258,0.4471,6761000000,5494000000,4675000000
GOOGL,Google,9/30/14,16523000000,0.2013,6695000000,9828000000,2655000000,3449000000,6104000000,3724000000,0,3746000000,933000000,0,185000000,2813000000,0,2813000000,4.05,3.98,677097000,655570000,0,0.5948,0.32,0.2267,0.17,0.1474,5293000000,3746000000,2739000000
GOOGL,Google,6/30/14,15955000000,0.2173,6114000000,9841000000,2238000000,3345000000,5583000000,4258000000,0,4406000000,984000000,0,68000000,3422000000,0,3422000000,4.96,4.88,675115000,652544000,567.97,0.6168,0.344,0.2762,0.214,0.1528,5485000000,4406000000,3351000000
GOOGL,Google,3/31/14,15420000000,0.1906,5961000000,9459000000,2126000000,3218000000,5344000000,4115000000,0,4274000000,822000000,0,198000000,3452000000,0,3452000000,5.13,5.04,672587000,650598000,0,0.6134,0.348,0.2772,0.224,-0.0584,5360000000,4274000000,3452000000
GOOGL,Google,12/31/13,15707000000,0.5275,6253000000,9454000000,1933000000,3092000000,5025000000,4429000000,0,4035000000,846000000,0,506000000,3189000000,0,3189000000,4.76,4.67,669670000,,0,0.6019,0.323,0.2569,0.203,0.1823,5071000000,4035000000,3189000000
GOOGL,Google,9/30/13,13754000000,0.0338,5409000000,8345000000,1821000000,2763000000,4584000000,3761000000,0,3582000000,612000000,0,193000000,2970000000,0,2970000000,4.45,4.38,667232000,,0,0.6067,0.331,0.2604,0.216,0.2012,4556000000,3582000000,2970000000
GOOGL,Google,6/30/13,13107000000,0.1101,5195000000,7912000000,1766000000,2681000000,4447000000,3465000000,0,4155000000,927000000,0,-454000000,3228000000,0,3228000000,4.85,4.77,664960000,,0,0.6036,0.396,0.317,0.246,0.1559,5185000000,4155000000,3228000000
GOOGL,Google,3/31/13,12951000000,0.2166,5136000000,7815000000,1617000000,2450000000,4067000000,3748000000,0,3700000000,354000000,0,182000000,3346000000,0,3346000000,5.06,4.97,660908000,,0,0.6034,0.355,0.2857,0.258,0.1682,4599000000,3700000000,3346000000
GOOGL,Google,12/31/12,10283000000,-0.0283,2755000000,7528000000,1225000000,1835000000,3060000000,4468000000,0,3843000000,957000000,0,786000000,2886000000,0,2886000000,4.38,4.31,658992000,,0,0.7321,0.466,0.3737,0.281,0.365,4796000000,3843000000,2886000000
GOOGL,Google,9/30/12,13304000000,0.3687,5955000000,7349000000,1879000000,2730000000,4609000000,2740000000,0,2823000000,647000000,0,0,2176000000,0,2176000000,3.32,3.27,655570000,,0,0.5524,0.274,0.2122,0.164,0.196,3651000000,2823000000,2176000000
GOOGL,Google,6/30/12,11807000000,0.3081,4677000000,7130000000,1538000000,2355000000,3893000000,3237000000,0,3442000000,657000000,0,0,2785000000,0,2785000000,4.27,4.21,652544000,,0,0.6039,0.348,0.2915,0.236,-0.557,4112000000,3442000000,2785000000
GOOGL,Google,3/31/12,10645000000,0.2414,3789000000,6856000000,1441000000,2026000000,3467000000,3389000000,0,3545000000,655000000,0,0,2890000000,0,2890000000,4.44,4.38,650598000,,0,0.6441,0.381,0.333,0.271,0.2814,4056000000,3545000000,2890000000
GOOGL,Google,12/31/11,10583000000,0.2539,3703000000,6880000000,1301000000,2072000000,3373000000,3507000000,0,3489000000,785000000,0,0,2704000000,0,2704000000,4.18,4.12,647774982,,0,0.6501,0.377,0.3297,0.256,0.229,3992000000,3489000000,2704000000
GOOGL,Google,9/30/11,9720000000,0.3341,3378000000,6342000000,1404000000,1880000000,3284000000,3058000000,0,3360000000,631000000,0,0,2729000000,0,2729000000,4.22,4.17,645775526,,0,0.6525,0.396,0.3457,0.281,0.2863,3852000000,3360000000,2729000000
GOOGL,Google,6/30/11,9026000000,0.3235,3172000000,5854000000,1234000000,1739000000,2973000000,2881000000,0,3085000000,580000000,0,0,2505000000,0,2505000000,3.88,3.84,644503650,,0,0.6486,0.392,0.3418,0.278,0.1927,3540000000,3085000000,2505000000
GOOGL,Google,3/31/11,8575000000,0.2657,2936000000,5639000000,1226000000,1617000000,3343000000,2296000000,0,2392000000,594000000,0,0,1798000000,0,1798000000,2.79,2.75,643044210,,0,0.6576,0.326,0.279,0.21,0.2661,2793000000,2392000000,1798000000
GOOGL,Google,12/31/10,8440000000,0.2646,2946000000,5494000000,1051000000,1461000000,2512000000,2982000000,0,3142000000,599000000,0,0,2543000000,0,2543000000,3.98,3.91,639550228,,0,0.6509,0.417,0.3723,0.301,-0.0102,3523000000,3142000000,2543000000
GOOGL,Google,9/30/10,7286000000,0.2256,2552000000,4734000000,994000000,1193000000,2187000000,2547000000,0,2714000000,547000000,0,0,2167000000,0,2167000000,3.4,3.36,637412224,,0,0.6497,0.419,0.3725,0.297,0.2921,3056000000,2714000000,2167000000
GOOGL,Google,6/30/10,6820000000,0.2348,2467000000,4353000000,898000000,1090000000,1988000000,2365000000,0,2434000000,594000000,0,0,1840000000,0,1840000000,2.89,2.85,636973018,,0,0.6383,0.407,0.3569,0.27,0.2359,2776000000,2434000000,1840000000
GOOGL,Google,3/31/10,6775000000,0.2298,2452000000,4323000000,818000000,1017000000,1835000000,2488000000,0,2506000000,551000000,0,0,1955000000,0,1955000000,3.08,3.03,635958582,,0,0.6381,0.419,0.3699,0.289,0.3461,2837000000,2506000000,1955000000
GOOGL,Google,12/31/09,6674000000,0.1706,2408000000,4266000000,736000000,1049000000,1785000000,2481000000,0,2569000000,595000000,0,0,1974000000,0,1974000000,3.12,3.07,634540710,,0,0.6392,0.44,0.3849,0.296,0.3761,2934000000,2569000000,1974000000
GOOGL,Google,9/30/09,5945000000,0.0728,2226000000,3719000000,758000000,887000000,1645000000,2074000000,0,2067000000,428000000,0,0,1639000000,0,1639000000,2.59,2.56,633142602,,0,0.6256,0.411,0.3477,0.276,0.4271,2446000000,2067000000,1639000000
GOOGL,Google,6/30/09,5523000000,0.029,2108000000,3415000000,708000000,833000000,1541000000,1874000000,0,1856000000,371000000,0,0,1485000000,0,1485000000,2.35,2.33,631878518,,0,0.6183,0.404,0.336,0.269,0.2662,2233000000,1856000000,1485000000
