stock_symbol,company_id,date,revenues,revenue_growth,cost_of_revenue,gross_profit,research_and_development_expense,selling_general_and_administrative_expense,operating_expenses,operating_income,interest_expense,earnings_before_tax,income_tax_expense,net_income_to_noncontrolling_interests,net_income_from_discontinued_operations,net_income,preferred_dividends_income_statement_impact,net_income_common_stock,earnings_per_basic_share,earnings_per_diluted_share,weighted_average_shares,weighted_average_shares_diluted,dividends_per_basic_common_share,gross_margin,ebitda_margin,ebit_margin,profit_margin,free_cash_flow_margin,ebitda,ebit,consolidated_income
IBM,IBM,3/31/17,18155000000,-0.0283,10383000000,7772000000,1088000000,5152000000,6212000000,1560000000,135000000,1421000000,-329000000,0,3000000,1750000000,0,1750000000,1.86,1.85,942400000,947800000,1.4,0.4281,0.146,0.0857,0.096,0.1727,2655000000,1556000000,1750000000
IBM,IBM,12/31/16,21770000000,-0.0131,10877000000,10893000000,910000000,4976000000,5750000000,5143000000,157000000,4981000000,480000000,0,5000000,4501000000,0,4501000000,4.73,4.71,948590120,952756388,1.4,0.5004,0.288,0.236,0.207,0.1255,6265000000,5138000000,4501000000
IBM,IBM,9/30/16,19226000000,-0.0028,10213000000,9013000000,869000000,4732000000,5593000000,3420000000,158000000,3262000000,409000000,0,1000000,2853000000,0,2853000000,2.99,2.98,954000000,957300000,1.4,0.4688,0.237,0.1779,0.148,0.1748,4547000000,3420000000,2853000000
IBM,IBM,6/30/16,20238000000,-0.0276,10536000000,9702000000,1100000000,5349000000,6486000000,3216000000,167000000,3048000000,544000000,0,0,2504000000,0,2504000000,2.62,2.61,957400000,960500000,1.4,0.4794,0.213,0.1589,0.124,0.1218,4318000000,3215000000,2504000000
IBM,IBM,3/31/16,18684000000,-0.0462,9999000000,8685000000,1241000000,6012000000,7506000000,1179000000,147000000,1031000000,-983000000,0,3000000,2014000000,0,2014000000,2.09,2.09,961700000,964400000,1.3,0.4648,0.118,0.063,0.108,0.244,2202000000,1178000000,2014000000
IBM,IBM,12/31/15,22059000000,-0.0852,10652000000,11407000000,1169000000,5157000000,6180000000,5227000000,128000000,5101000000,638000000,0,-2000000,4463000000,0,4463000000,4.59,4.57,969578092,972801068,1.3,0.5171,0.282,0.237,0.202,0.1932,6219000000,5229000000,4463000000
IBM,IBM,9/30/15,19280000000,-0.1392,9844000000,9436000000,1099000000,4731000000,5697000000,3739000000,117000000,3609000000,659000000,0,12000000,2950000000,0,2950000000,3.03,3.01,975100000,979000000,1.3,0.4894,0.242,0.1933,0.153,0.1713,4662000000,3726000000,2950000000
IBM,IBM,6/30/15,20813000000,-0.1345,10423000000,10390000000,1172000000,5179000000,6050000000,4340000000,115000000,4147000000,698000000,0,77000000,3449000000,0,3449000000,3.51,3.5,982300000,986700000,1.3,0.4992,0.251,0.2048,0.166,0.143,5223000000,4262000000,3449000000
IBM,IBM,3/31/15,19590000000,-0.119,10138000000,9452000000,1125000000,5362000000,6344000000,3108000000,108000000,2913000000,585000000,0,88000000,2328000000,0,2328000000,2.36,2.35,988100000,992300000,1.1,0.4825,0.204,0.1542,0.119,0.1372,3989000000,3021000000,2328000000
IBM,IBM,12/31/14,24113000000,-0.1195,11251000000,12862000000,1121000000,6034000000,5650000000,7212000000,117000000,7062000000,1579000000,0,31000000,5483000000,0,5483000000,5.49,5.46,990390336,995301920,1.1,0.5334,0.341,0.2977,0.227,0.2108,8225000000,7179000000,5483000000
IBM,IBM,9/30/14,22397000000,-0.0403,11523000000,10874000000,1209000000,5281000000,6387000000,4487000000,126000000,924000000,906000000,0,3437000000,18000000,0,18000000,0.02,0.02,991800000,997700000,1.1,0.4855,0.098,0.0469,0.001,0.1293,2189000000,1050000000,18000000
IBM,IBM,6/30/14,24047000000,-0.0352,12003000000,12044000000,1170000000,5593000000,6561000000,5483000000,136000000,5233000000,1096000000,0,0,4137000000,0,4137000000,4.14,4.12,999600000,1005100000,1.1,0.5009,0.272,0.2233,0.172,0.111,6535000000,5369000000,4137000000
IBM,IBM,3/31/14,22236000000,-0.0501,11608000000,10628000000,1195000000,6272000000,7340000000,3288000000,105000000,3037000000,653000000,0,0,2384000000,0,2384000000,2.3,2.29,1035200000,1041800000,0.95,0.478,0.193,0.1413,0.107,0.1097,4283000000,3142000000,2384000000
IBM,IBM,12/31/13,27385000000,-0.0103,13048000000,14337000000,1251000000,5988000000,7123000000,7214000000,113000000,7069000000,885000000,0,32000000,6184000000,0,6184000000,5.71,5.67,1072546416,1080068624,0.95,0.5235,0.307,0.2623,0.226,0.1997,8396000000,7182000000,6184000000
IBM,IBM,9/30/13,23338000000,-0.0569,11908000000,11430000000,1165000000,5260000000,6362000000,5068000000,97000000,4873000000,832000000,0,0,4041000000,0,4041000000,3.7,3.68,1090900000,1098800000,0.95,0.4898,0.263,0.213,0.173,0.1165,6145000000,4970000000,4041000000
IBM,IBM,6/30/13,24924000000,-0.0333,12792000000,12132000000,1301000000,6680000000,7890000000,4242000000,98000000,4144000000,918000000,0,0,3226000000,0,3226000000,2.93,2.91,1100900000,1109400000,0.95,0.4868,0.216,0.1702,0.129,0.0897,5378000000,4242000000,3226000000
IBM,IBM,3/31/13,23408000000,-0.0513,12730000000,10678000000,1461000000,5577000000,6978000000,3700000000,94000000,3606000000,574000000,0,0,3032000000,0,3032000000,2.72,2.7,1113700000,1124000000,0.85,0.4562,0.207,0.1581,0.13,0.1407,4853000000,3700000000,3032000000
IBM,IBM,12/31/12,27671000000,-0.0616,12441000000,15230000000,867000000,5831000000,6651000000,8579000000,109000000,8074000000,2241000000,0,395000000,5833000000,0,5833000000,5.15,5.1,1124834084,1136397268,0.85,0.5504,0.337,0.2957,0.211,0.1938,9335000000,8183000000,5833000000
IBM,IBM,9/30/12,24747000000,-0.0539,13016000000,11731000000,1231000000,5908000000,6533000000,5198000000,124000000,5075000000,1251000000,0,0,3824000000,0,3824000000,3.36,3.33,1137200000,1149300000,0.85,0.474,0.258,0.2101,0.155,0.1402,6390000000,5199000000,3824000000
IBM,IBM,6/30/12,25783000000,-0.0331,13502000000,12281000000,1298000000,5837000000,7003000000,5278000000,117000000,5161000000,1280000000,0,0,3881000000,0,3881000000,3.38,3.34,1149000000,1161900000,0.85,0.4763,0.25,0.2047,0.151,0.1224,6454000000,5278000000,3881000000
IBM,IBM,3/31/12,24673000000,0.0027,13555000000,11118000000,1346000000,5886000000,7174000000,3944000000,110000000,3835000000,769000000,0,0,3066000000,0,3066000000,2.65,2.61,1159100000,1174200000,0.75,0.4506,0.207,0.1599,0.124,0.1333,5102000000,3945000000,3066000000
IBM,IBM,12/31/11,29486000000,0.0161,14764000000,14722000000,1302000000,6076000000,7335000000,7387000000,113000000,7274000000,1784000000,0,0,5490000000,0,5490000000,4.65,4.58,1172204024,1188771940,0.75,0.4993,0.291,0.2505,0.186,0.2048,8575000000,7387000000,5490000000
IBM,IBM,9/30/11,26157000000,0.0777,13984000000,12173000000,1248000000,5662000000,7038000000,5135000000,107000000,5027000000,1188000000,0,0,3839000000,0,3839000000,3.23,3.19,1188600000,1204900000,0.75,0.4654,0.242,0.1963,0.147,0.141,6326000000,5134000000,3839000000
IBM,IBM,6/30/11,26666000000,0.124,14282000000,12384000000,1274000000,6030000000,7401000000,4983000000,97000000,4885000000,1221000000,0,0,3664000000,0,3664000000,3.04,3,1204800000,1221400000,0.75,0.4644,0.232,0.1868,0.137,0.1248,6189000000,4982000000,3664000000
IBM,IBM,3/31/11,24607000000,0.0766,13749000000,10858000000,1325000000,5826000000,6949000000,3909000000,93000000,3817000000,954000000,0,0,2863000000,0,2863000000,2.34,2.31,1222200000,1240000000,0.65,0.4413,0.209,0.1589,0.116,0.1111,5138000000,3910000000,2863000000
IBM,IBM,12/31/10,29018000000,0.0657,14792000000,14226000000,1260000000,5951000000,7170000000,7056000000,101000000,6955000000,1698000000,0,0,5257000000,0,5257000000,4.2,4.14,1240256808,1258421552,0.65,0.4902,0.286,0.2432,0.181,0.1962,8291000000,7056000000,5257000000
IBM,IBM,9/30/10,24271000000,0.0299,13270000000,11001000000,1186000000,5149000000,6229000000,4772000000,95000000,4677000000,1088000000,0,0,3589000000,0,3589000000,2.86,2.82,1255200000,1272800000,0.65,0.4533,0.246,0.1966,0.148,0.146,5975000000,4772000000,3589000000
IBM,IBM,6/30/10,23724000000,0.0204,12915000000,10809000000,1178000000,5061000000,6144000000,4665000000,90000000,4576000000,1190000000,0,0,3386000000,0,3386000000,2.65,2.61,1278600000,1296700000,0.65,0.4556,0.247,0.1967,0.143,0.1179,5849000000,4666000000,3386000000
IBM,IBM,3/31/10,22857000000,0.0528,12880000000,9977000000,1248000000,5677000000,6380000000,3597000000,82000000,3515000000,914000000,0,0,2601000000,0,2601000000,2,1.97,1301200000,1321600000,0.55,0.4365,0.21,0.1574,0.114,0.1546,4807000000,3597000000,2601000000
IBM,IBM,12/31/09,27230000000,0.0083,14085000000,13145000000,1147000000,5560000000,6682000000,6463000000,81000000,6381000000,1568000000,0,0,4813000000,0,4813000000,3.65,3.59,1318329640,1340611016,0.55,0.4827,0.284,0.2373,0.177,0.1946,7727000000,6462000000,4813000000
IBM,IBM,9/30/09,23566000000,-0.0686,12938000000,10628000000,1152000000,5013000000,6170000000,4458000000,84000000,4373000000,1159000000,0,0,3214000000,0,3214000000,2.44,2.4,1319900000,1338200000,0.55,0.451,0.243,0.1891,0.136,0.1792,5715000000,4457000000,3214000000
IBM,IBM,6/30/09,23250000000,-0.1331,12669000000,10581000000,1132000000,5115000000,6219000000,4362000000,101000000,4262000000,1159000000,0,0,3103000000,0,3103000000,2.34,2.32,1326100000,1336900000,0.55,0.4551,0.241,0.1877,0.133,0.1668,5605000000,4363000000,3103000000
IBM,IBM,3/31/09,21711000000,-0.1139,12280000000,9431000000,1212000000,5264000000,6172000000,3259000000,136000000,3122000000,827000000,0,0,2295000000,0,2295000000,1.71,1.7,1344300000,1349500000,0.5,0.4344,0.207,0.1501,0.106,0.167,4487000000,3258000000,2295000000
IBM,IBM,12/31/08,27007000000,-0.0644,14071000000,12936000000,1200000000,5833000000,6936000000,6000000000,191000000,5809000000,1382000000,0,0,4427000000,0,4427000000,3.27,3.24,1347368276,1353588792,0.5,0.479,0.271,0.2222,0.164,0.207,7321000000,6000000000,4427000000
