stock_symbol,company_id,date,revenues,revenue_growth,cost_of_revenue,gross_profit,research_and_development_expense,selling_general_and_administrative_expense,operating_expenses,operating_income,interest_expense,earnings_before_tax,income_tax_expense,net_income_to_noncontrolling_interests,net_income_from_discontinued_operations,net_income,preferred_dividends_income_statement_impact,net_income_common_stock,earnings_per_basic_share,earnings_per_diluted_share,weighted_average_shares,weighted_average_shares_diluted,dividends_per_basic_common_share,gross_margin,ebitda_margin,ebit_margin,profit_margin,free_cash_flow_margin,ebitda,ebit,consolidated_income
INTC,Intel,4/1/17,14796000000,0.0798,5649000000,9147000000,3326000000,2104000000,5548000000,3599000000,36000000,3815000000,851000000,0,0,2964000000,0,2964000000,0.63,0.61,4723000000,4881000000,0.26,0.6182,0.392,0.2603,0.2,0.1315,5797000000,3851000000,2964000000
INTC,Intel,12/31/16,16374000000,0.0979,6269000000,10105000000,3280000000,2158000000,5579000000,4526000000,104000000,4440000000,878000000,0,0,3562000000,0,3562000000,0.75,0.73,4736000000,4884000000,0.26,0.6171,0.395,0.2775,0.218,0.2822,6474000000,4544000000,3562000000
INTC,Intel,10/1/16,15778000000,0.0908,5795000000,9983000000,3069000000,2006000000,5521000000,4462000000,132000000,4318000000,940000000,0,0,3378000000,0,3378000000,0.71,0.69,4734000000,4877000000,0.26,0.6327,0.404,0.282,0.214,0.2088,6378000000,4450000000,3378000000
INTC,Intel,7/2/16,13533000000,0.0256,5560000000,7973000000,3145000000,2007000000,6655000000,1318000000,126000000,1670000000,340000000,0,0,1330000000,0,1330000000,0.28,0.27,4729000000,4866000000,0.26,0.5892,0.274,0.1327,0.098,0.1152,3713000000,1796000000,1330000000
INTC,Intel,4/2/16,13702000000,0.0721,5572000000,8130000000,3246000000,2226000000,5562000000,2568000000,82000000,2508000000,462000000,0,0,2046000000,0,2046000000,0.43,0.42,4722000000,4875000000,0.26,0.5933,0.336,0.189,0.149,0.1977,4605000000,2590000000,2046000000
INTC,Intel,12/26/15,14914000000,0.0131,5324000000,9590000000,3119000000,2118000000,5291000000,4299000000,14000000,4303000000,690000000,0,0,3613000000,0,3613000000,0.77,0.74,4721000000,4876000000,0.24,0.643,0.433,0.2895,0.242,0.2078,6463000000,4317000000,3613000000
INTC,Intel,9/26/15,14465000000,-0.0061,5354000000,9111000000,2927000000,1910000000,4919000000,4192000000,104000000,4253000000,1144000000,0,0,3109000000,0,3109000000,0.65,0.64,4747000000,4876000000,0.24,0.6299,0.458,0.3012,0.215,0.3131,6632000000,4357000000,3109000000
INTC,Intel,6/27/15,13195000000,-0.046,4947000000,8248000000,3087000000,1949000000,5352000000,2896000000,13000000,2983000000,277000000,0,0,2706000000,0,2706000000,0.57,0.55,4759000000,4909000000,0.24,0.6251,0.393,0.2271,0.205,0.1268,5187000000,2996000000,2706000000
INTC,Intel,3/28/15,12781000000,0.0013,5051000000,7730000000,2995000000,1953000000,5115000000,2615000000,-26000000,2673000000,681000000,0,0,1992000000,0,1992000000,0.42,0.41,4741000000,4914000000,0.24,0.6048,0.371,0.2071,0.156,0.187,4746000000,2647000000,1992000000
INTC,Intel,12/27/14,14721000000,0.0641,5100000000,9621000000,2990000000,2049000000,5168000000,4453000000,27000000,4659000000,998000000,0,0,3661000000,0,3661000000,0.76,0.73,4769000000,4939000000,0.23,0.6536,0.466,0.3183,0.249,0.2465,6860000000,4686000000,3661000000
