stock_symbol,company_id,date,revenues,revenue_growth,cost_of_revenue,gross_profit,research_and_development_expense,selling_general_and_administrative_expense,operating_expenses,operating_income,interest_expense,earnings_before_tax,income_tax_expense,net_income_to_noncontrolling_interests,net_income_from_discontinued_operations,net_income,preferred_dividends_income_statement_impact,net_income_common_stock,earnings_per_basic_share,earnings_per_diluted_share,weighted_average_shares,weighted_average_shares_diluted,dividends_per_basic_common_share,gross_margin,ebitda_margin,ebit_margin,profit_margin,free_cash_flow_margin,ebitda,ebit,consolidated_income
MSFT,Microsoft,3/31/17,22090000000,0.0759,8060000000,14030000000,3355000000,5081000000,8436000000,5594000000,0,5916000000,1115000000,0,0,4801000000,0,4801000000,0.62,0.61,7725000000,7813000000,0.39,0.6351,0.379,0.2678,0.217,0.4058,8369000000,5916000000,4801000000
MSFT,Microsoft,12/31/16,24090000000,0.0124,9901000000,14189000000,3062000000,4950000000,8012000000,6177000000,0,6363000000,1163000000,0,0,5200000000,0,5200000000,0.67,0.66,7755000000,7830000000,0.39,0.589,0.354,0.2641,0.216,0.1787,8529000000,6363000000,5200000000
MSFT,Microsoft,9/30/16,20453000000,0.0036,7844000000,12609000000,3106000000,4278000000,7384000000,5225000000,0,5325000000,635000000,0,0,4690000000,0,4690000000,0.6,0.6,7789000000,7876000000,0.36,0.6165,0.349,0.2604,0.229,0.4589,7141000000,5325000000,4690000000
MSFT,Microsoft,6/30/16,20614000000,-0.0706,7979000000,12635000000,3146000000,5299000000,9555000000,3080000000,0,3347000000,225000000,0,0,3122000000,0,3122000000,0.4,0.4,7844000000,7929000000,0.36,0.6129,0.255,0.1624,0.151,0.2818,5257000000,3347000000,3122000000
MSFT,Microsoft,3/31/16,20531000000,-0.0551,7722000000,12809000000,2980000000,4546000000,7526000000,5283000000,0,5036000000,1280000000,0,0,3756000000,0,3756000000,0.48,0.47,7895000000,7985000000,0.36,0.6239,0.328,0.2453,0.183,0.3925,6743000000,5036000000,3756000000
MSFT,Microsoft,12/31/15,23796000000,-0.101,9872000000,13924000000,2900000000,4998000000,7898000000,6026000000,0,5855000000,837000000,0,0,5018000000,0,5018000000,0.63,0.62,7964000000,8051000000,0.36,0.5851,0.311,0.246,0.211,0.151,7399000000,5855000000,5018000000
MSFT,Microsoft,9/30/15,20379000000,-0.1216,7207000000,13172000000,2962000000,4417000000,7379000000,5793000000,0,5513000000,611000000,0,0,4902000000,0,4902000000,0.61,0.61,7996000000,8084000000,0.31,0.6464,0.342,0.2705,0.241,0.369,6974000000,5513000000,4902000000
MSFT,Microsoft,6/30/15,22180000000,-0.0514,7468000000,14712000000,3094000000,5233000000,16765000000,-2053000000,0,-1756000000,1439000000,0,0,-3195000000,0,-3195000000,-0.38,-0.38,8063000000,8137000000,0.31,0.6633,-0.012,-0.0792,-0.144,0.2285,-263000000,-1756000000,-3195000000
MSFT,Microsoft,3/31/15,21729000000,0.065,7161000000,14568000000,2984000000,4800000000,7974000000,6594000000,0,6517000000,1532000000,0,0,4985000000,0,4985000000,0.61,0.61,8167000000,8237000000,0.31,0.6704,0.37,0.2999,0.229,0.3778,8032000000,6517000000,4985000000
MSFT,Microsoft,12/31/14,26470000000,0.0796,10136000000,16334000000,2903000000,5412000000,8558000000,7776000000,0,7850000000,1987000000,0,0,5863000000,0,5863000000,0.71,0.71,8228000000,8297000000,0.31,0.6171,0.354,0.2966,0.221,0.1077,9371000000,7850000000,5863000000
MSFT,Microsoft,9/30/14,23201000000,0.2521,8273000000,14928000000,3065000000,4879000000,9084000000,5844000000,0,5896000000,1356000000,0,0,4540000000,0,4540000000,0.55,0.54,8249000000,8351000000,0.28,0.6434,0.316,0.2541,0.196,0.3048,7324000000,5896000000,4540000000
MSFT,Microsoft,6/30/14,23382000000,0.1752,7633000000,15749000000,3123000000,6017000000,9267000000,6482000000,0,6577000000,1965000000,0,0,4612000000,0,4612000000,0.56,0.55,8245000000,8363000000,0.28,0.6736,0.356,0.2813,0.197,0.3616,8319000000,6577000000,4612000000
MSFT,Microsoft,3/31/14,20403000000,-0.0042,5978000000,14425000000,2743000000,4708000000,7451000000,6974000000,0,6957000000,1297000000,0,0,5660000000,0,5660000000,0.68,0.68,8284000000,8367000000,0.28,0.707,0.402,0.341,0.277,0.4366,8212000000,6957000000,5660000000
MSFT,Microsoft,12/31/13,24519000000,0.1428,8322000000,16197000000,2748000000,5480000000,8228000000,7969000000,0,7878000000,1320000000,0,0,6558000000,0,6558000000,0.79,0.78,8326000000,8395000000,0.28,0.6606,0.373,0.3213,0.267,0.1093,9139000000,7878000000,6558000000
MSFT,Microsoft,9/30/13,18529000000,0.1575,5145000000,13384000000,2767000000,4283000000,7050000000,6334000000,0,6408000000,1164000000,0,0,5244000000,0,5244000000,0.63,0.62,8339000000,8434000000,0.23,0.7223,0.397,0.3458,0.283,0.3764,7362000000,6408000000,5244000000
MSFT,Microsoft,6/30/13,19896000000,0.1017,5738000000,14158000000,2783000000,5302000000,8085000000,6073000000,0,6145000000,1180000000,0,0,4965000000,0,4965000000,0.59,0.59,8345000000,8464000000,0.23,0.7116,0.358,0.3089,0.25,0.2065,7128000000,6145000000,4965000000
MSFT,Microsoft,3/31/13,20489000000,0.1771,4787000000,15702000000,2640000000,5450000000,8090000000,7612000000,0,7603000000,1548000000,0,0,6055000000,0,6055000000,0.72,0.72,8364000000,8429000000,0.23,0.7664,0.422,0.3711,0.296,0.4264,8656000000,7603000000,6055000000
MSFT,Microsoft,12/31/12,21456000000,0.0273,5692000000,15764000000,2528000000,5465000000,7993000000,7771000000,0,7770000000,1393000000,0,0,6377000000,0,6377000000,0.76,0.76,8393000000,8444000000,0.23,0.7347,0.409,0.3621,0.297,0.1794,8779000000,7770000000,6377000000
MSFT,Microsoft,9/30/12,16008000000,-0.0785,4168000000,11840000000,2460000000,4072000000,6532000000,5308000000,0,5534000000,1068000000,0,0,4466000000,0,4466000000,0.53,0.53,8396000000,8494000000,0.2,0.7396,0.39,0.3457,0.279,0.4923,6244000000,5534000000,4466000000
MSFT,Microsoft,6/30/12,18059000000,0.0398,4163000000,13896000000,2594000000,4917000000,13704000000,192000000,0,359000000,851000000,0,0,-492000000,0,-492000000,-0.06,-0.05,8390000000,8518000000,0.2,0.7695,0.064,0.0199,-0.027,0.3907,1156000000,359000000,-492000000
MSFT,Microsoft,3/31/12,17407000000,0.0596,3952000000,13455000000,2517000000,4564000000,7081000000,6374000000,0,6363000000,1255000000,0,0,5108000000,0,5108000000,0.61,0.6,8401000000,8498000000,0.2,0.773,0.41,0.3655,0.293,0.5081,7129000000,6363000000,5108000000
MSFT,Microsoft,12/31/11,20885000000,0.0467,5638000000,15247000000,2371000000,4882000000,7253000000,7994000000,0,8239000000,1615000000,0,0,6624000000,0,6624000000,0.79,0.78,8402000000,8465000000,0.2,0.73,0.427,0.3945,0.317,0.2568,8917000000,8239000000,6624000000
MSFT,Microsoft,9/30/11,17372000000,0.0727,3777000000,13595000000,2329000000,4063000000,6392000000,7203000000,0,7306000000,1568000000,0,0,5738000000,0,5738000000,0.68,0.68,8392000000,8490000000,0.16,0.7826,0.462,0.4206,0.33,0.4638,8032000000,7306000000,5738000000
MSFT,Microsoft,6/30/11,17367000000,0.0828,3708000000,13659000000,2393000000,5095000000,7488000000,6171000000,0,6319000000,445000000,0,0,5874000000,0,5874000000,0.7,0.68,8427000000,8545000000,0.16,0.7865,0.404,0.3639,0.338,0.3052,7008000000,6319000000,5874000000
MSFT,Microsoft,3/31/11,16428000000,0.1327,3897000000,12531000000,2269000000,4553000000,6822000000,5709000000,0,6025000000,793000000,0,0,5232000000,0,5232000000,0.62,0.61,8420000000,8510000000,0.16,0.7628,0.411,0.3668,0.318,0.4878,6745000000,6025000000,5232000000
MSFT,Microsoft,12/31/10,19953000000,0.0489,4833000000,15120000000,2185000000,4770000000,6955000000,8165000000,0,8497000000,1863000000,0,0,6634000000,0,6634000000,0.78,0.77,8497000000,8570000000,0.16,0.7578,0.459,0.4259,0.332,0.1852,9160000000,8497000000,6634000000
MSFT,Microsoft,9/30/10,16195000000,0.2535,3139000000,13056000000,2196000000,3744000000,5940000000,7116000000,0,7230000000,1820000000,0,0,5410000000,0,5410000000,0.63,0.62,8614000000,8695000000,0.13,0.8062,0.489,0.4464,0.334,0.4711,7924000000,7230000000,5410000000
MSFT,Microsoft,6/30/10,16039000000,0.2244,3170000000,12869000000,2350000000,4589000000,6939000000,5930000000,0,6024000000,1506000000,0,0,4518000000,0,4518000000,0.52,0.51,8714000000,8843000000,0.13,0.8024,0.42,0.3756,0.282,0.3021,6742000000,6024000000,4518000000
MSFT,Microsoft,3/31/10,14503000000,0.0626,2755000000,11748000000,2220000000,4355000000,6575000000,5173000000,0,5341000000,1335000000,0,0,4006000000,0,4006000000,0.46,0.45,8767000000,8876000000,0.13,0.81,0.416,0.3683,0.276,0.4816,6035000000,5341000000,4006000000
MSFT,Microsoft,12/31/09,19022000000,0.1439,3628000000,15394000000,2079000000,4802000000,6881000000,8513000000,0,8883000000,2221000000,0,0,6662000000,0,6662000000,0.75,0.74,8856000000,8951000000,0.13,0.8093,0.499,0.467,0.35,0.2415,9498000000,8883000000,6662000000
MSFT,Microsoft,9/30/09,12920000000,-0.1422,2842000000,10078000000,2065000000,3531000000,5596000000,4482000000,0,4765000000,1191000000,0,0,3574000000,0,3574000000,0.4,0.4,8914000000,8983000000,0.13,0.78,0.419,0.3688,0.277,0.439,5411000000,4765000000,3574000000
MSFT,Microsoft,6/30/09,13099000000,-0.1729,2586000000,10513000000,2225000000,4591000000,6526000000,3987000000,0,4142000000,1097000000,0,0,3045000000,0,3045000000,0.34,0.34,8900000000,8960000000,0.13,0.8026,0.368,0.3162,0.232,0.227,4823000000,4142000000,3045000000
MSFT,Microsoft,3/31/09,13648000000,-0.0558,2814000000,10834000000,2212000000,3894000000,6396000000,4438000000,0,4050000000,1073000000,0,0,2977000000,0,2977000000,0.33,0.33,8891000000,8904000000,0.13,0.7938,0.345,0.2967,0.218,0.3965,4714000000,4050000000,2977000000
MSFT,Microsoft,12/31/08,16629000000,0.016,3907000000,12722000000,2290000000,4493000000,6783000000,5939000000,0,5638000000,1464000000,0,0,4174000000,0,4174000000,0.47,0.47,8903000000,8914000000,0.13,0.765,0.377,0.339,0.251,0.2971,6270000000,5638000000,4174000000
MSFT,Microsoft,9/30/08,15061000000,0.0944,2848000000,12213000000,2283000000,3931000000,6214000000,5999000000,0,5991000000,1618000000,0,0,4373000000,0,4373000000,0.48,0.48,9084000000,9183000000,0.11,0.8109,0.437,0.3978,0.29,0.1721,6576000000,5991000000,4373000000
MSFT,Microsoft,6/30/08,15837000000,0.1844,2866000000,12971000000,2407000000,4885000000,7292000000,5679000000,0,5968000000,1671000000,0,0,4297000000,0,4297000000,0.47,0.46,9265000000,9404000000,0.11,0.819,0.415,0.3768,0.271,0.181,6576000000,5968000000,4297000000
MSFT,Microsoft,3/31/08,14454000000,0.0039,2514000000,11940000000,2035000000,5615000000,7650000000,4290000000,0,4810000000,422000000,0,0,4388000000,0,4388000000,0.47,0.47,9307000000,9428000000,0.11,0.8261,0.37,0.3328,0.304,0.4375,5342000000,4810000000,4388000000
MSFT,Microsoft,12/31/07,16367000000,0.305,3543000000,12824000000,1885000000,4486000000,6371000000,6453000000,0,6820000000,2113000000,0,0,4707000000,0,4707000000,0.5,0.5,9361000000,9503000000,0.11,0.7835,0.446,0.4167,0.288,0.2366,7301000000,6820000000,4707000000
MSFT,Microsoft,9/30/07,13762000000,0.273,2675000000,11087000000,1837000000,3401000000,5238000000,5849000000,0,6216000000,1927000000,0,0,4289000000,0,4289000000,0.46,0.45,9380000000,9513000000,0.1,0.8056,0.483,0.4517,0.312,0.3901,6651000000,6216000000,4289000000
